mass_A
t	x
6.496003333E1	-1.764151452E1
6.511993333E1	-1.024542616E1
6.529583333E1	-5.579459246E0
6.545586667E1	-1.144557866E0
6.563193333E1	3.144410344E0
6.579190000E1	7.054920833E0
6.595313333E1	1.094143836E1
6.612783333E1	1.363682036E1
6.628803333E1	1.629440164E1
6.646383333E1	1.695930140E1
6.662386667E1	1.605619967E1
6.679980000E1	1.424704888E1
6.695996667E1	1.133104906E1
6.712036667E1	8.189526550E0
6.729603333E1	3.384180991E0
6.745603333E1	-1.759350498E0
6.763193333E1	-7.924084715E0
6.779196667E1	-1.418246196E1
6.795243333E1	-2.118371082E1
6.812790000E1	-2.883266618E1
6.828810000E1	-3.715479755E1
6.846410000E1	-4.500602675E1
6.862400000E1	-5.332200702E1
6.878450000E1	-5.847679023E1
6.895993333E1	-8.444107355E1
6.912066667E1	-9.042013149E1
6.929596667E1	-9.504685201E1
6.945590000E1	-9.811148783E1
6.963183333E1	-9.871712809E1
6.979203333E1	-9.962190928E1
6.995256667E1	-9.920657979E1
7.012790000E1	-9.792792631E1
7.028873333E1	-9.669776056E1
7.046393333E1	-9.560002151E1
7.062390000E1	-9.211386083E1
7.078463333E1	-8.835566115E1
7.095993333E1	-8.206089974E1
7.111986667E1	-7.684465765E1
7.129600000E1	-7.315248822E1
7.145613333E1	-6.992342219E1
7.161603333E1	-4.826532564E1
7.179196667E1	-4.406080386E1
7.195196667E1	-4.033019288E1
7.212793333E1	-3.681875986E1
7.228810000E1	-3.253878517E1
7.244816667E1	-3.718565676E1
7.262456667E1	-3.187038643E1
7.278433333E1	-8.344630874E0
7.295993333E1	-3.047816845E0
7.312023333E1	1.913934939E0
7.329590000E1	6.286974999E0
7.345616667E1	1.078257856E1
7.361596667E1	1.393245351E1
7.379203333E1	1.622885869E1
7.395223333E1	1.713832420E1
7.412790000E1	1.513922220E1
7.428800000E1	1.401125324E1
7.444790000E1	1.050929222E1
7.462393333E1	6.893060846E0
7.478426667E1	1.053219210E0
7.495983333E1	-4.365697386E0
7.511993333E1	-1.150536891E1
7.527990000E1	-1.819516460E1
7.545593333E1	-2.607022072E1
7.561606667E1	-3.429888306E1
7.579183333E1	-4.321508505E1
7.595200000E1	-5.183956037E1
7.611190000E1	-5.846751176E1
7.628786667E1	-8.524260588E1
7.644790000E1	-9.168765581E1
7.662383333E1	-9.561387564E1
7.678436667E1	-9.816114097E1
7.695983333E1	-9.908016183E1
7.712050000E1	-9.967689909E1
7.727990000E1	-9.867918243E1
7.745586667E1	-9.719714774E1
7.761590000E1	-9.591692678E1
7.779196667E1	-9.337584636E1
7.795250000E1	-8.918930980E1
7.811200000E1	-8.329546048E1
7.828790000E1	-7.643276148E1
7.844786667E1	-5.516182558E1
7.862420000E1	-5.071105398E1
7.878430000E1	-4.680281578E1
7.894393333E1	-4.204795137E1
7.911990000E1	-3.811056229E1
7.928000000E1	-3.413035420E1
7.945600000E1	-2.735168059E1
7.961610000E1	-1.619402500E1
7.979193333E1	-9.246762193E0
7.995216667E1	-3.987232670E0
8.011210000E1	9.153424284E-1
8.028850000E1	5.750460625E0
8.044806667E1	1.014277479E1
8.062383333E1	1.377090876E1
8.078453333E1	1.606995951E1
8.094403333E1	1.685199967E1
8.112006667E1	1.481040153E1
8.128013333E1	1.400498726E1
8.145593333E1	1.007416763E1
8.161586667E1	6.060325558E0
8.177603333E1	1.961359316E-2
8.195236667E1	-6.040403604E0
8.211196667E1	-1.379266580E1
8.228793333E1	-2.125316370E1
8.244803333E1	-3.027005085E1
8.260803333E1	-3.946215793E1
8.278426667E1	-4.863870611E1
8.294403333E1	-5.718252659E1
8.312003333E1	-8.237903696E1
8.328010000E1	-9.089108973E1
8.345593333E1	-9.644135537E1
8.361600000E1	-9.955180090E1
8.377596667E1	-9.917375376E1
8.395230000E1	-9.940512959E1
8.411200000E1	-9.870747771E1
8.428790000E1	-9.689290166E1
8.444796667E1	-9.523572870E1
8.460803333E1	-9.186123378E1
8.478393333E1	-8.655700928E1
8.494390000E1	-7.895886453E1
8.512000000E1	-7.418704608E1
8.528000000E1	-5.140736645E1
8.543990000E1	-4.836933370E1
8.561606667E1	-4.240923424E1
8.577603333E1	-3.859683457E1
8.595193333E1	-3.403873592E1
8.611186667E1	-2.798744655E1
8.628830000E1	-3.253926265E1
8.644786667E1	-8.748071308E0
8.660806667E1	-3.140681591E0
8.678390000E1	2.002234715E0
8.694396667E1	7.037232584E0
8.711976667E1	1.176685930E1
8.727986667E1	1.476150726E1
8.744006667E1	1.628477332E1
8.761586667E1	1.473997699E1
8.777590000E1	1.334509395E1
8.795190000E1	1.015107160E1
8.811200000E1	5.924662684E0
8.827216667E1	9.103318759E-2
8.844806667E1	-6.217823614E0
8.860790000E1	-1.407548571E1
8.878406667E1	-2.219678601E1
8.894386667E1	-3.151334784E1
8.910390000E1	-4.139580878E1
8.927996667E1	-5.066204402E1
8.944000000E1	-5.907776014E1
8.961636667E1	-8.625941269E1
8.977596667E1	-9.379101130E1
8.995186667E1	-9.724288156E1
9.011203333E1	-9.991623793E1
9.027200000E1	-9.971086869E1
9.044783333E1	-9.867294522E1
9.060783333E1	-9.702170795E1
9.078390000E1	-9.565149563E1
9.094383333E1	-9.305263155E1
9.110416667E1	-8.820766545E1
9.128006667E1	-8.092153104E1
9.143993333E1	-7.330439521E1
9.161613333E1	-5.078136244E1
9.177593333E1	-4.454986142E1
9.193636667E1	-4.024828804E1
9.211223333E1	-3.548637152E1
9.227203333E1	-2.885776837E1
9.244800000E1	-1.673277950E1
9.260803333E1	-7.823021939E0
9.278406667E1	-1.915087266E0
9.294430000E1	3.722234057E0
9.310400000E1	9.277721816E0
9.327996667E1	1.323091602E1
9.344000000E1	1.633235632E1
9.361590000E1	1.641472807E1
9.377596667E1	1.409086292E1
9.393623333E1	1.198088977E1
9.411203333E1	7.203210566E0
9.427196667E1	1.828155072E0
9.444783333E1	-5.110627017E0
9.460796667E1	-1.271123007E1
