mass_A
t	x
1.112639333E2	-9.526781074E-1
1.114239667E2	-1.503269295E0
1.116004000E2	-1.387798397E0
1.117600000E2	-7.055527629E-1
1.119364000E2	-6.563275752E-2
1.120960000E2	-2.409262947E-1
1.122719000E2	2.058951712E-1
1.124319000E2	3.133166418E-2
1.125919667E2	1.202401790E-1
1.127684333E2	6.679211915E-2
1.129280000E2	-2.770525097E-2
1.131038667E2	-4.866343272E-2
1.132641333E2	-1.154153548E0
1.134239333E2	4.963304567E-2
1.136003333E2	-4.942191857E-1
1.137600000E2	-1.477612635E0
1.139359000E2	-3.001475644E-2
1.140959667E2	-2.902980368E-2
1.142560333E2	1.148806972E-1
1.144319333E2	1.022422531E-1
1.145919333E2	1.326627045E-1
1.147685333E2	-1.166339579E-2
1.149279000E2	-2.609665584E-2
1.150882667E2	-6.282667055E-2
1.152639333E2	-9.177114990E-1
1.154240333E2	-6.455947494E-1
1.156002000E2	-1.487058823E-1
1.157599333E2	7.750258612E-2
1.159359000E2	1.307732356E-1
1.160959000E2	1.541274462E-1
1.162561000E2	6.668002787E-2
1.164319333E2	9.583325142E-2
1.165919667E2	-1.231899484E-1
1.167680667E2	-5.638399491E-2
1.169279667E2	-2.298855921E-1
1.170881000E2	-1.399154065E-1
1.172639000E2	7.281147447E-2
1.174239333E2	-5.282579337E-2
1.175998000E2	-8.976597709E-1
1.177598667E2	-1.078924646E0
1.179199000E2	-1.571183057E-1
1.180959000E2	2.572073692E-2
1.182565333E2	1.077203803E-1
1.184318667E2	1.022010280E-1
1.185918667E2	-3.097209250E-2
1.187520667E2	-2.854198105E-1
1.189279000E2	6.502251987E-2
1.190879333E2	-4.543056268E-2
1.192641000E2	-8.795042992E-2
1.194242333E2	-1.348327802E-1
1.196000667E2	1.264480920E-1
1.197599333E2	4.472509961E-2
1.199199667E2	1.607442553E-1
1.200959000E2	6.405347163E-2
1.202560333E2	8.871293477E-2
1.204318000E2	5.640141250E-2
1.205918667E2	-8.864441245E-2
1.207519000E2	-2.067858343E-1
1.209278667E2	-2.137346664E-2
1.210881000E2	8.983246809E-3
1.212640000E2	-1.986239259E-1
1.214240333E2	-2.733902108E-1
1.215852000E2	-9.935190838E-2
1.217599667E2	-9.813694445E-2
1.219200333E2	-2.479345252E-1
1.220960333E2	2.333891077E-1
1.222559000E2	1.506386532E-1
1.224322333E2	-2.700585720E-2
1.225919000E2	-2.023516126E-1
1.227521667E2	-1.838099253E0
1.229279333E2	-1.545280084E-1
1.230879667E2	-8.646101207E-3
1.232638333E2	-1.237680797E-2
1.234239667E2	-4.910383906E-2
1.235843000E2	1.245499077E-1
1.237599667E2	-2.207003747E-1
1.239199333E2	6.302622540E-2
1.240959667E2	2.635652269E-2
1.242560333E2	1.074012586E-1
1.244163333E2	-6.079415732E-2
1.245920667E2	-8.886678978E-2
1.247521000E2	-1.193633416E-1
1.249280000E2	-1.446354919E-1
1.250879667E2	-5.805083054E-3
1.252482667E2	1.025458678E-1
1.254239333E2	7.498294978E-2
1.255844000E2	3.488830838E-2
1.257599667E2	-1.304804694E-1
1.259200667E2	2.259298354E-2
1.260958333E2	8.700422127E-2
1.262559667E2	-1.430856946E-1
1.264162667E2	-6.208535748E-1
1.265919667E2	-4.675185768E-1
1.267519333E2	-1.014259373E-1
1.269278667E2	-1.416296067E0
1.270879000E2	2.401232375E-2
1.272480667E2	-2.461465730E-3
1.274239667E2	2.050413644E-2
1.275839667E2	1.157178351E-1
1.277599333E2	1.699616121E-1
1.279199333E2	1.878481569E-1
1.280799000E2	-3.884772649E-2
1.282559000E2	1.062604877E-1
1.284162667E2	6.986375286E-2
1.285918333E2	-1.716712625E-1
1.287519000E2	-2.837754662E-1
1.289278333E2	-9.642379440E-3
1.290882000E2	1.892723128E-1
1.292480000E2	1.023265619E-1
1.294238333E2	9.551203656E-2
1.295845333E2	7.959632881E-2
1.297598667E2	8.280482652E-2
1.299201667E2	3.645450307E-2
1.300799333E2	1.517577115E-3
1.302560333E2	-3.614092039E-1
1.304165667E2	1.136133185E-2
1.305919667E2	5.579506655E-2
1.307519667E2	-1.233260348E0
1.309120667E2	-8.272718766E-1
1.310879333E2	-6.689487832E-2
1.312481333E2	1.181073646E-1
1.314243000E2	1.035555380E-1
1.315841333E2	8.153764932E-3
1.317439333E2	-1.728637301E-1
1.319200000E2	4.845156859E-2
1.320800667E2	4.730869660E-2
1.322561000E2	-7.751909139E-2
1.324162000E2	-7.314766054E-1
1.325919333E2	-1.147825426E-1
1.327521667E2	1.702860407E-1
